Time Step,flow-time,area-q,pcm-avg-temp,heat-storage-rate,temp-uniformity-index,nussult-number-nshadow,nusult-number,flux-combined,htf-avg-temp
"(""Time","Step""","""flow-time""","""q""","""temp-unifprmity-index""","""nussult-number-nshadow""","""nussult-number""","""t-avg""","""htf-t-avg""","""flux"""
28,2.8,0.008746471955047659,301.7427801108471,250.4446401505627,1.758061938241591,-1877.062339300123,-938.5311696500617,-0.002158043807696686,344.9181912635586
29,2.9,0.00949282927617472,301.8180800582919,244.8840246754791,1.857105211336555,-1930.014856448368,-965.0074282241839,-0.00130426897567304,345.1916145615482
30,3,0.01025320152186917,301.8921638244665,239.6738926534676,1.956101227699201,-1978.2534490536,-989.1267245267999,-0.001546812778713047,345.4385739084413
31,3.1,0.01102410310333368,301.9651066089877,234.6103385939004,2.055070606566705,-2021.779192311511,-1010.889596155756,-0.00560048615955111,345.6624584892505
32,3.2,0.01180220039702745,302.0369823740759,229.9973280285581,2.15408021178561,-2059.155343408185,-1029.577671704093,-0.00525976964982533,345.8661356378058
33,3.3,0.01258449923510608,302.1078471452662,225.6630806179711,2.253210322308706,-2091.708349071655,-1045.854174535827,-0.005140307703129565,346.0522659923074
34,3.4,0.01336680963148661,302.1778331570371,221.5447244650726,2.352514688097763,-2119.794538851708,-1059.897269425854,-0.004509502501548468,346.223333647653
35,3.5,0.01414601774402835,302.2470055222756,217.602782651791,2.451992336461751,-2144.087663444182,-1072.043831722091,-0.004299330814887981,346.38161323715
36,3.6,0.01491926577052616,302.3154269743291,213.8097308346777,2.550920662863434,-2164.953821417644,-1082.476910708822,-0.004127447583613275,346.5291217273429
37,3.7,0.01568450914498684,302.3831241044501,210.1539167670018,2.648662958392744,-2182.716723950812,-1091.358361975406,-0.004051700518061807,346.6675884150733
38,3.8,0.016439574483396,302.4501495122561,206.6116754511677,2.744424315301877,-2197.596552352471,-1098.798276176235,-0.003616806464549427,346.7984531244013
39,3.9,0.01718367658965598,302.5164795198077,203.1707776677735,2.838114487119237,-2210.122393488007,-1105.061196744003,-0.003368657836290367,346.92289168524
40,4,0.01791585046069996,302.5820871029922,199.6927463352496,2.929948336712063,-2221.180909909856,-1110.590454954928,0.005752341067505995,347.0420256240969
