Time Step,flow-time,q,pcm-avg-temp,nussult-number,temp-uniformity-index,flux,htf-t-avg,flux-co
"(""Time","Step""","""flow-time""","""q""","""htf-temp-avg""","""nussult-number""","""pcm-temp-avg""","""heat-storage-rate-co""","""heat-storage-rate"""
32,3.2,0.01468923808318665,302.2098855778687,386.1939536294987,3.443479058220554,243.8186828447464,346.0206265720766,0.03835074422215712
33,3.3,0.01563480145683398,302.2791072649254,381.4712783170679,3.54934806543895,238.7440644272981,346.2041210199408,-0.008742093310388555
34,3.4,0.01657620181401294,302.3471562789325,376.4389555991099,3.655424783850659,234.0785914828141,346.3745346507054,-0.01251707637220534
35,3.5,0.01751218075916908,302.4141053279419,371.3222673785826,3.76160257450778,229.6845383578002,346.5335194654544,-0.009010767428634381
36,3.6,0.01844097298064631,302.480066051972,366.1319559521218,3.867619509256975,225.5095643314947,346.6824264212503,-0.00924615152109709
37,3.7,0.01936149198388426,302.5451088313962,360.9161383726188,3.972913027888432,221.5296987327366,346.822389490705,-0.009687847249722381
38,3.8,0.02027361164532336,302.609251855792,355.7639285867549,4.075629719303372,217.7292412571625,346.9543729300252,-0.01031829881560498
39,3.9,0.02117727409284981,302.6725122974276,350.675312642035,4.174922716052363,214.0917145379712,347.0791842399944,-0.0139253928885239
40,4,0.02207237645575249,302.7349104902736,345.6400551305911,4.270944076837257,210.6125045891263,347.1975003668841,-0.01094305847493615
41,4.100000000000001,0.02295836658124989,302.7964424588047,340.7953628043451,4.364534452800818,207.2851136186277,347.3099748697113,0.1682584129929126
42,4.2,0.02383605751090626,302.8571156674591,336.0000586511068,4.456456578147368,204.0272636324865,347.4170670753398,0.1527782996168696
43,4.3,0.02470598783257228,302.9169955045793,331.0814306403132,4.547134323826025,201.0817610957782,347.5190020389334,0.02308638710533728
44,4.4,0.02556711352605157,302.9761454246997,326.3791554088196,4.636785324057882,198.2141504412879,347.6161429477951,0.005617702685299264
45,4.5,0.02641900583634528,303.0346080154942,321.879307275899,4.725559591080382,195.3633148603542,347.7089851119562,-0.0008839207786195402
46,4.600000000000001,0.02726112805345207,303.0924380832216,317.4897163565975,4.813602693209242,192.5906033753566,347.7979589070007,-0.0002756233933496333
